Area code	Population	x position	yposition
S08000015	369670	-200.248	3834.38
S08000016	115270	-117.758	3836.53
S08000017	148790	-167.316	3796.78
S08000029	371910	-138.794	3875.32
S08000019	306070	-168.585	3869.1
S08000020	584550	-103.895	3955.45
S08000031	1174980	-188.547	3855.06
S08000022	321800	-199.853	3941.4
S08000032	659200	-174.629	3850.3
S08000024	897770	-139.951	3859.21
S08000025	22190	-132.15	4070.15
S08000026	22990	-51.8223	4154.95
S08000030	416080	-135.91	3897.93
S08000028	26830	-290.465	4001.74
E09000002	211998	5.39351	3556.68
E09000003	392140	-8.97586	3560.74
E08000016	245199	-63.5716	3694.65
E06000022	192106	-105.851	3544.28
E06000055	171623	-20.5522	3597.89
E09000004	247258	5.92818	3550.8
E08000025	1141374	-81.8525	3621.21
E06000008	148942	-107.582	3707.25
E06000009	139305	-132.015	3713.51
E08000001	285372	-106.371	3696.79
E06000036	121676	-33.0605	3546.67
E08000032	537173	-78.3093	3713.68
E09000005	330795	-11.2096	3557.09
E06000043	290395	-6.39415	3507.43
E06000023	463405	-112.416	3550.75
E09000006	331096	1.14637	3545.95
E10000002	505283	-32.1968	3567.84
E08000002	190108	-100.021	3696.21
E08000033	210082	-82.5334	3706.44
E10000003	621210	0.976531	3609.04
E09000007	262226	-6.21446	3555.86
E06000056	283606	-20.6197	3586.49
E06000049	380790	-100.159	3670.69
E06000050	340502	-121.064	3673
E09000001	8706	-3.9713	3554.49
E06000052	565968	-215.241	3472.51
E06000047	526980	-70.8185	3777.92
E08000026	366785	-65.3765	3616.5
E09000008	385346	-4.21673	3544.45
E10000006	499858	-133.415	3764.21
E06000005	106566	-67.3936	3762.61
E06000015	257174	-63.8564	3650.96
E10000007	769686	-66.3308	3666.36
E10000008	746399	-158.982	3499.68
E08000017	310542	-48.5988	3693.41
E06000059	376484	-99.4697	3504.01
E08000027	320626	-91.625	3621.42
E09000009	341982	-14.2229	3554.83
E06000011	339614	-21.5669	3716.72
E10000011	526671	12.4133	3510.72
E09000010	333869	-3.60069	3563.08
E10000012	1393587	24.6464	3570.93
