Date	Country	AreaCode	Area	TotalCases
30/01/2020	England	E06000014	York	1
31/01/2020	England	E10000016	Kent	1
03/02/2020	England	E08000016	Barnsley	1
03/02/2020	England	E10000008	Devon	2
03/02/2020	England	E10000015	Hertfordshire	1
03/02/2020	England	E10000016	Kent	2
05/02/2020	England	E06000043	Brighton and Hove	1
08/02/2020	England	E06000043	Brighton and Hove	4
09/02/2020	England	E06000043	Brighton and Hove	5
11/02/2020	England	E09000023	Lewisham	1
12/02/2020	England	E10000034	Worcestershire	1
13/02/2020	England	E09000009	Ealing	1
16/02/2020	England	E09000003	Barnet	1
17/02/2020	England	E09000010	Enfield	1
19/02/2020	England	E09000012	Hackney	1
21/02/2020	England	E10000024	Nottinghamshire	1
23/02/2020	England	E09000019	Islington	1
23/02/2020	England	E06000042	Milton Keynes	1
23/02/2020	England	E09000026	Redbridge	1
23/02/2020	England	E10000031	Warwickshire	1
24/02/2020	England	E10000032	West Sussex	1
25/02/2020	England	E10000007	Derbyshire	1
25/02/2020	England	E09000028	Southwark	2
25/02/2020	England	E10000030	Surrey	1
26/02/2020	England	E10000013	Gloucestershire	1
27/02/2020	England	E10000014	Hampshire	1
27/02/2020	England	E09000020	Kensington and Chelsea	1
27/02/2020	England	E10000018	Leicestershire	1
27/02/2020	England	E06000035	Medway	1
27/02/2020	England	E06000041	Wokingham	1
28/02/2020	England	E09000003	Barnet	2
28/02/2020	England	E09000005	Brent	1
28/02/2020	England	E10000012	Essex	1
28/02/2020	England	E09000018	Hounslow	1
28/02/2020	England	E09000020	Kensington and Chelsea	2
28/02/2020	England	E08000035	Leeds	1
28/02/2020	England	E06000018	Nottingham	1
28/02/2020	England	E09000028	Southwark	3
28/02/2020	England	E10000030	Surrey	2
28/02/2020	England	E08000010	Wigan	1
29/02/2020	England	E09000021	Kingston upon Thames	1
29/02/2020	England	E10000021	Northamptonshire	1
29/02/2020	England	E08000019	Sheffield	1
01/03/2020	England	E09000002	Barking and Dagenham	1
01/03/2020	England	E09000003	Barnet	3
01/03/2020	England	E08000025	Birmingham	1
01/03/2020	England	E08000001	Bolton	1
01/03/2020	England	E08000032	Bradford	1
01/03/2020	England	E09000006	Bromley	1
01/03/2020	England	E10000002	Buckinghamshire	1
01/03/2020	England	E08000002	Bury	3
01/03/2020	England	E09000009	Ealing	2
01/03/2020	England	E10000013	Gloucestershire	2
01/03/2020	England	E10000015	Hertfordshire	4
01/03/2020	England	E09000018	Hounslow	2
01/03/2020	England	E06000010	"Kingston upon Hull, City of"	1
01/03/2020	England	E10000017	Lancashire	2
01/03/2020	England	E08000035	Leeds	2
01/03/2020	England	E10000018	Leicestershire	2
01/03/2020	England	E09000024	Merton	1
01/03/2020	England	E08000019	Sheffield	2
01/03/2020	England	E08000007	Stockport	1
01/03/2020	England	E08000030	Walsall	1
01/03/2020	England	E09000032	Wandsworth	1
01/03/2020	England	E10000032	West Sussex	3
01/03/2020	England	E09000033	Westminster	1
01/03/2020	England	E06000054	Wiltshire	1
01/03/2020	England	E08000015	Wirral	1
02/03/2020	England	E08000016	Barnsley	2
02/03/2020	England	E08000025	Birmingham	2
02/03/2020	England	E09000007	Camden	2
02/03/2020	England	E06000050	Cheshire West and Chester	1
02/03/2020	England	E06000052	Cornwall and Isles of Scilly	1
02/03/2020	England	E10000007	Derbyshire	3
02/03/2020	England	E10000008	Devon	5
02/03/2020	England	E09000009	Ealing	3
02/03/2020	England	E09000017	Hillingdon	1
02/03/2020	England	E09000018	Hounslow	3
02/03/2020	England	E09000020	Kensington and Chelsea	6
02/03/2020	England	E08000012	Liverpool	1
02/03/2020	England	E08000021	Newcastle upon Tyne	1
02/03/2020	England	E08000004	Oldham	1
02/03/2020	England	E10000025	Oxfordshire	1
02/03/2020	England	E09000026	Redbridge	2
02/03/2020	England	E08000018	Rotherham	1
02/03/2020	England	E09000028	Southwark	4
02/03/2020	England	E10000028	Staffordshire	1
02/03/2020	England	E06000027	Torbay	4
02/03/2020	England	E08000009	Trafford	3
02/03/2020	England	E09000032	Wandsworth	2
02/03/2020	England	E10000031	Warwickshire	3
02/03/2020	England	E06000014	York	2
03/03/2020	England	E08000016	Barnsley	3
03/03/2020	England	E06000036	Bracknell Forest	1
03/03/2020	England	E06000023	"Bristol, City of"	1
03/03/2020	England	E10000003	Cambridgeshire	1
03/03/2020	England	E10000006	Cumbria	2
03/03/2020	England	E10000007	Derbyshire	4
03/03/2020	England	E10000008	Devon	11
03/03/2020	England	E09000009	Ealing	4
03/03/2020	England	E10000012	Essex	2
03/03/2020	England	E09000015	Harrow	1
03/03/2020	England	E10000015	Hertfordshire	9
03/03/2020	England	E09000018	Hounslow	4
03/03/2020	England	E10000016	Kent	3
03/03/2020	England	E09000022	Lambeth	1
03/03/2020	England	E10000019	Lincolnshire	2
03/03/2020	England	E08000012	Liverpool	3
03/03/2020	England	E08000003	Manchester	1
03/03/2020	England	E06000042	Milton Keynes	2
03/03/2020	England	E10000023	North Yorkshire	1
03/03/2020	England	E10000021	Northamptonshire	2
03/03/2020	England	E10000024	Nottinghamshire	4
03/03/2020	England	E10000025	Oxfordshire	4
03/03/2020	England	E08000019	Sheffield	3
03/03/2020	England	E10000028	Staffordshire	2
03/03/2020	England	E10000030	Surrey	4
03/03/2020	England	E06000030	Swindon	1
03/03/2020	England	E09000032	Wandsworth	3
03/03/2020	England	E09000033	Westminster	2
03/03/2020	England	E08000010	Wigan	3
03/03/2020	England	E06000054	Wiltshire	3
03/03/2020	England	E06000041	Wokingham	2
04/03/2020	England	E09000003	Barnet	7
04/03/2020	England	E06000043	Brighton and Hove	6
04/03/2020	England	E10000002	Buckinghamshire	2
04/03/2020	England	E06000052	Cornwall and Isles of Scilly	2
04/03/2020	England	E10000007	Derbyshire	6
04/03/2020	England	E10000008	Devon	14
04/03/2020	England	E09000009	Ealing	5
04/03/2020	England	E10000012	Essex	4
04/03/2020	England	E10000013	Gloucestershire	3
04/03/2020	England	E09000013	Hammersmith and Fulham	1
04/03/2020	England	E10000014	Hampshire	2
04/03/2020	England	E10000015	Hertfordshire	11
04/03/2020	England	E09000017	Hillingdon	2
04/03/2020	England	E06000046	Isle of Wight	1
04/03/2020	England	E09000020	Kensington and Chelsea	10
04/03/2020	England	E09000022	Lambeth	2
04/03/2020	England	E08000035	Leeds	3
04/03/2020	England	E09000023	Lewisham	2
04/03/2020	England	E06000032	Luton	2
04/03/2020	England	E08000003	Manchester	2
04/03/2020	England	E06000035	Medway	3
04/03/2020	England	E08000021	Newcastle upon Tyne	2
04/03/2020	England	E08000019	Sheffield	4
04/03/2020	England	E06000045	Southampton	1
04/03/2020	England	E06000033	Southend-on-Sea	1
04/03/2020	England	E09000028	Southwark	5
04/03/2020	England	E10000028	Staffordshire	3
04/03/2020	England	E09000029	Sutton	1
04/03/2020	England	E09000030	Tower Hamlets	2
04/03/2020	England	E08000009	Trafford	4
04/03/2020	England	E10000031	Warwickshire	5
04/03/2020	England	E09000033	Westminster	3
04/03/2020	England	E06000054	Wiltshire	4
05/03/2020	England	E09000003	Barnet	8
05/03/2020	England	E08000025	Birmingham	3
05/03/2020	England	E08000001	Bolton	2
05/03/2020	England	E06000058	"Bournemouth, Christchurch and Poole"	2
05/03/2020	England	E10000003	Cambridgeshire	2
05/03/2020	England	E06000052	Cornwall and Isles of Scilly	3
05/03/2020	England	E08000026	Coventry	1
05/03/2020	England	E10000006	Cumbria	4
05/03/2020	England	E10000008	Devon	15
05/03/2020	England	E09000009	Ealing	6
05/03/2020	England	E10000014	Hampshire	3
05/03/2020	England	E09000017	Hillingdon	4
05/03/2020	England	E09000020	Kensington and Chelsea	16
05/03/2020	England	E10000016	Kent	5
05/03/2020	England	E10000017	Lancashire	4
05/03/2020	England	E10000018	Leicestershire	3
05/03/2020	England	E08000003	Manchester	4
05/03/2020	England	E08000021	Newcastle upon Tyne	3
05/03/2020	England	E08000022	North Tyneside	1
05/03/2020	England	E10000021	Northamptonshire	3
05/03/2020	England	E06000018	Nottingham	2
05/03/2020	England	E08000004	Oldham	2
05/03/2020	England	E08000019	Sheffield	6
05/03/2020	England	E09000028	Southwark	6
05/03/2020	England	E10000028	Staffordshire	4
05/03/2020	England	E08000007	Stockport	2
05/03/2020	England	E09000030	Tower Hamlets	3
05/03/2020	England	E09000031	Waltham Forest	1
05/03/2020	England	E10000031	Warwickshire	7
05/03/2020	England	E09000033	Westminster	4
05/03/2020	England	E08000010	Wigan	4
05/03/2020	England	E06000041	Wokingham	3
05/03/2020	England	E08000031	Wolverhampton	1
05/03/2020	Wales	W06000019	Blaenau Gwent	0
05/03/2020	Wales	W06000013	Bridgend	0
05/03/2020	Wales	W06000018	Caerphilly	0
05/03/2020	Wales	W06000015	Cardiff	1
05/03/2020	Wales	W06000010	Carmarthenshire	0
05/03/2020	Wales	W06000008	Ceredigion	0
05/03/2020	Wales	W06000003	Conwy	0
05/03/2020	Wales	W06000004	Denbighshire	0
05/03/2020	Wales	W06000005	Flintshire	0
05/03/2020	Wales	W06000002	Gwynedd	0
05/03/2020	Wales	W06000001	Isle of Anglesey	0
05/03/2020	Wales	W06000024	Merthyr Tydfil	0
05/03/2020	Wales	W06000021	Monmouthshire	0
05/03/2020	Wales	W06000012	Neath Port Talbot	1
05/03/2020	Wales	W06000022	Newport	0
05/03/2020	Wales	W06000009	Pembrokeshire	0
05/03/2020	Wales	W06000023	Powys	0
05/03/2020	Wales	W06000016	Rhondda Cynon Taf	0
05/03/2020	Wales	W06000011	Swansea	0
05/03/2020	Wales	W06000020	Torfaen	0
05/03/2020	Wales	W06000014	Vale of Glamorgan	0
05/03/2020	Wales	W06000006	Wrexham	0
06/03/2020	England	E09000003	Barnet	9
06/03/2020	England	E06000058	"Bournemouth, Christchurch and Poole"	3
06/03/2020	England	E06000023	"Bristol, City of"	2
06/03/2020	England	E10000002	Buckinghamshire	3
06/03/2020	England	E09000007	Camden	3
06/03/2020	England	E06000052	Cornwall and Isles of Scilly	5
06/03/2020	England	E08000026	Coventry	2
06/03/2020	England	E06000005	Darlington	1
06/03/2020	England	E06000015	Derby	1
06/03/2020	England	E10000007	Derbyshire	7
06/03/2020	England	E10000008	Devon	19
06/03/2020	England	E09000010	Enfield	2
06/03/2020	England	E10000012	Essex	5
06/03/2020	England	E09000012	Hackney	2
06/03/2020	England	E09000013	Hammersmith and Fulham	3
06/03/2020	England	E10000014	Hampshire	9
